id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
157612,New attic space/single & Dble room,757016,Margaret,Salford,Salford District,53.50114,-2.26429,Entire home/apt,43,2,119,2022-10-31,0.90,1,249,19,
283495,En-suite room in detached house,1476718,Alison,Rochdale,Rochdale District,53.56259,-2.21945,Private room,75,100,10,2018-08-05,0.11,1,365,0,
299194,Cosy Garden Chalet for all seasons,1542010,Minh,Stockport,Stockport District,53.376,-2.04462,Entire home/apt,50,2,312,2022-11-14,2.39,1,270,19,
310742,Nice room 10 minutes walk from town,1603652,Francisca,Manchester,Ancoats and Clayton,53.48251,-2.22802,Private room,34,180,65,2022-05-02,0.49,1,302,1,
332580,**ELEGANT STAY** CENTRAL MANCHESTER,1694961,Manchester,Manchester,City Centre,53.47859,-2.23195,Private room,49,2,329,2022-12-21,2.63,3,0,6,
389675,Spacious 1 bed Apartment - Salford,1949567,Nada,Manchester,Crumpsall,53.51707,-2.25177,Entire home/apt,40,5,0,,,1,0,0,
411843,"R&R @ Birley View (Up to 5 Beds, Free Parking)",2046430,Tom,Manchester,Hulme,53.46849,-2.24403,Entire home/apt,178,2,229,2022-09-25,1.75,34,244,3,
412687,Ivy Bank.Altrincham's original & cosy Airbnb flat,2053716,Bev,Trafford,Trafford District,53.393,-2.34904,Entire home/apt,73,2,377,2022-12-10,2.98,1,138,47,
556920,Central Manchester character bedroom/private bath,2738322,Jane,Manchester,Ancoats and Clayton,53.48138,-2.22366,Private room,48,2,216,2022-12-11,2.79,2,22,41,
568034,"Quiet, comfortable double room in Chorlton",2794391,Helen,Manchester,Chorlton,53.44635,-2.27818,Private room,39,2,383,2022-12-14,3.03,2,134,35,
610613,Dbl Room good access to city centre,3027563,Bob And Christine,Manchester,Didsbury West,53.42759,-2.23266,Private room,39,1,572,2022-12-18,4.52,3,295,69,
651097,DOUBLE ROOM+ENSUITE IN CITY CENTRE W/ FREE PARKING,3270691,Brian,Manchester,City Centre,53.475033,-2.244769,Private room,103,2,322,2022-12-09,2.56,1,292,53,
681857,A perfect Home away from home,3472687,Thembalani,Manchester,Ancoats and Clayton,53.48888,-2.21156,Entire home/apt,81,2,257,2022-12-18,2.19,2,165,25,
711322,Lovely Single room  in Manchester city,3086011,Gertrude,Manchester,Hulme,53.4645,-2.25904,Private room,44,3,28,2019-11-23,0.24,6,365,0,
711323,Lovely spacious queen room in Manchester,3086011,Gertrude,Trafford,Trafford District,53.46352,-2.26062,Private room,47,2,34,2022-12-24,0.29,6,364,1,
735851,Manchester-Stockport-Cheadle,3839436,Siobhan,Stockport,Stockport District,53.40018,-2.1937,Private room,120,2,78,2022-10-30,0.69,2,71,2,
753374,"Comfy family home, Mosely Rd, Close to Swamy  II",3962880,Soraya & Shahin,Manchester,Burnage,53.43564,-2.19836,Private room,30,4,119,2022-12-02,0.97,2,359,11,
890462,Attractive room in Old Trafford,4727565,Jez,Trafford,Trafford District,53.45966,-2.27037,Private room,34,2,80,2019-12-15,0.67,1,10,0,
912553,"Comfortable en-suite room, Didsbury",3027563,Bob And Christine,Manchester,Didsbury West,53.42633,-2.23412,Private room,43,1,496,2022-10-31,4.21,3,227,55,
917497,Single in WhiteRooms ChorltonGreen,4917842,Gwyn,Manchester,Chorlton,53.4401,-2.28187,Private room,33,3,53,2020-01-26,0.45,4,198,0,
917498,"Peaceful Attic-Room, 3, Chorlton",4917842,Gwyn,Manchester,Chorlton,53.4394,-2.28205,Private room,35,3,66,2020-07-13,0.56,4,282,0,
917504,Double/Ensuite in bohemian Chorlton,4917842,Gwyn,Manchester,Chorlton,53.43954,-2.28164,Private room,45,3,130,2020-01-02,1.09,4,326,0,
968898,Double Room CLOSE TO PICCADILLY,5289300,Mimi,Manchester,Bradford,53.47545,-2.16597,Private room,66,7,0,,,1,365,0,
1111565,Fab Apartment in Didsbury Village,6100874,Alan And Sharon,Manchester,Didsbury West,53.41665,-2.23386,Entire home/apt,85,14,33,2022-09-30,0.31,2,44,3,
1117458,Super 2 bed East Didsbury Apartment,6100874,Alan And Sharon,Manchester,Didsbury East,53.40903,-2.22362,Entire home/apt,85,14,22,2022-08-28,0.21,2,46,1,
1162564,Double Private Room 1 in Manchester,6201208,Tyra,Manchester,Withington,53.43229,-2.22171,Private room,60,2,26,2022-12-04,0.28,3,329,2,
1174058,room to rent/let,6425594,Ilona Helen,Salford,Salford District,53.51148,-2.36253,Private room,66,3,0,,,1,365,0,
1199469,"Boutique Mews Cottage, West Didsbury",6552609,David,Manchester,Chorlton Park,53.42646,-2.24544,Entire home/apt,192,2,184,2022-12-11,1.60,1,324,44,
1225615,Double room in Manchester,6201208,Tyra,Manchester,Withington,53.43367,-2.22283,Private room,60,1,15,2019-06-09,0.13,3,329,0,
1241309,★Glass Roof★Walkable★Full Kitch★Office★Deck★Garden,6766640,Amy,Trafford,Trafford District,53.42985,-2.34018,Entire home/apt,100,7,1,2021-11-30,0.08,3,26,0,
1329093,Private B&B Double Room 2,219489200,Susan,Manchester,Sharston,53.37601,-2.25162,Private room,30,1,378,2022-11-28,3.55,1,326,111,
1343251,NICE 2 BEDROOM VICTORIA PARK.,4274481,Adel,Manchester,Longsight,53.45718,-2.21378,Entire home/apt,88,1,2,2015-01-03,0.02,8,365,0,
1394994,Tranquil leafy apartment near city,7539112,Clare,Manchester,Whalley Range,53.45291,-2.26147,Entire home/apt,80,20,28,2022-04-15,0.24,1,273,1,
1545417,"Salford, Close to St James House, Media City, MCR",5649500,Nikki,Salford,Salford District,53.48786,-2.29252,Private room,37,3,154,2022-11-20,1.37,1,46,19,
1602166,"LUXURY MANOR HOUSE APARTMENT, DIDSBURY, MANCHESTER",8537868,Rachel & David,Manchester,Didsbury West,53.41072,-2.23282,Entire home/apt,100,2,14,2019-07-05,0.15,2,0,0,
1625515,Comfortable single spacious room,8643169,Christine,Trafford,Trafford District,53.46197,-2.35353,Private room,18,1,20,2021-08-09,0.18,1,99,0,
1685231,Central Arty Home Free On-Street Parking 180° View,9989431,Bianca,Manchester,Cheetham,53.49148,-2.23938,Entire home/apt,96,1,138,2022-11-03,1.43,1,267,28,
1810887,Lovely double room with bay window,9487531,Cazz,Manchester,Whalley Range,53.45034,-2.26742,Private room,22,14,47,2022-11-11,0.74,1,30,3,
1818864,Nice 1 bedroom flat close to Univer,4274481,Adel,Manchester,Moss Side,53.45503,-2.2411,Entire home/apt,56,1,2,2019-08-07,0.02,8,364,0,
